"airline","Luftlinie","airline distance"
"alternativeveloroutes","Kombinationsmöglichkeiten","Possible Combinations"
"andmore","und mehr","and more"
"backtostart","Zur Startseite","Back to Homepage"
"combined_veloroute","Kombinierter Radweg","Combined Cycling Route"
"contact","Kontaktmöglichkeiten","Contact"
"crossing_veloroutes","Anschlussradwege","Crossing veloroutes"
"cyclingroutelegs","Streckenabschnitte","Cycling Route Legs"
"distance","Etappenlänge","Leg distance"
"email","Email-Adresse:","email:"
"from","Von","From"
"home_headline","Finde deine Tour","Find your Route"
"home_l1","Gib eine maximale Fahrtzeit von Berlin aus an","Choose a maximum travel time from the starting point of Berlin"
"home_l2","Wähle eine Bahnlinie aus, um zu sehen, welche Fernradwege mit der ausgewählten Bahnlinie erreicht werden können","Choose a trainline in order to see which cycling routes can be reached with the chosen trainline"
"home_l3","Wähle einen Radweg aus","Choose a cycling route"
"home_l4","Klicke auf einen Abschnitt, um zu sehen, wie lang die Strecke bis zur nächsten Bahnstation sind","Click on a section of the cycling route in order to see how long the distance to the next train station is "
"home_p1","Es gibt jede Menge Fernradwege in Berlin und Umgebung, die sehr gut mit der Regionalbahn zu erreichen sind. In Regionalbahnen ist die Fahrradmitnahme möglich. Welche Fernradwege gibt es und welche Stationen liegen auf der Strecke?","There are a lot of long distant cycling routes in and around Berlin. They are easily accessible by regional trains. In regional trains you can transport your bicycle. Which cycling routes are there and which train stations are along the route? "
"home_subheadline","Rund um Berlin mit Bahn und Fahrrad","Around Berlin with bike and train"
"hour","Stunde","hour"
"hours","Stunden","hours"
"imprint","Impressum","Legal notice"
"instruction","Wähle eine Fahrtzeit aus","Choose a travel time"
"language","Sprache","language"
"leg","Etappe","Leg"
"loading","lädt...","loading..."
"minute","Minute","minute"
"minutes","Minuten","minutes"
"morethan","Über","More than"
"nolegchosen","Kein Streckenabschnitt ausgewählt: Bitte auf die Radroute klicken, um die Details zum Streckenabschnitt anzuzeigen.","No route leg chosen: Please click on the cycling path in order to show the details of a cycling route leg."
"nomatch","keine Radwege gefunden","no routes found"
"phone","Telefon:","phone:"
"privacy","Datenschutz","Privacy"
"privacy_l1","Verarbeitete Datenarten: Nutzungsdaten (z.B. besuchte Webseiten, Interesse an Inhalten, Zugriffszeiten); Meta-/Kommunikationsdaten (z.B. Geräte-Informationen, IP-Adressen).","Used data: User data such as visited pages, times of visits, meta or communication data (e. g. information about devices and IP addresses)."
"privacy_l2","Betroffene Personen: Webseitenbesucher","Affected people: website visitors"
"privacy_l3","Zwecke der Verarbeitung: Bereitstellung meines Onlineangebotes.","Purposes of data usage: Delivery of this website."
"privacy_l4","Rechtsgrundlagen: Berechtigte Interessen (Art. 6 Abs. 1 S. 1 lit. f. DSGVO).","Legal basis: Legitimate interests (Art. 6 Abs. 1 S. 1 lit. f. DSGVO)."
"privacy_l5","E-Mail-Versand und -Hosting: Die von mir in Anspruch genommenen Webhosting-Leistungen umfassen ebenfalls den Versand, den Empfang sowie die Speicherung von E-Mails. Zu diesen Zwecken werden die Adressen der Empfänger sowie Absender als auch weitere Informationen betreffend den E-Mailversand (z.B. die beteiligten Provider) sowie die Inhalte der jeweiligen E-Mails verarbeitet. Die vorgenannten Daten können ferner zu Zwecken der Erkennung von SPAM verarbeitet werden. Ich bitte darum, zu beachten, dass E-Mails im Internet grundsätzlich nicht verschlüsselt versendet werden. Im Regelfall werden E-Mails zwar auf dem Transportweg verschlüsselt, aber (sofern kein sogenanntes Ende-zu-Ende-Verschlüsselungsverfahren eingesetzt wird) nicht auf den Servern, von denen sie abgesendet und empfangen werden. Ich kann daher für den Übertragungsweg der E-Mails zwischen dem Absender und dem Empfang auf meinem Server keine Verantwortung übernehmen.","Mail delivery and hosting: The hosting services also include the sending, receiving and saving of emails. For this purpose, the addresses of the sender and receiver of emails as well as further information about emailing (like provider information), and content of mails are processed. They can also be used to detect SPAM. Please note that emails generally aren't sent encrypted. Usually emails are encrypted while sent, but not on the servers receiving and sending the emails. So I take no responsibility for the way emails are received and stored on the server."
