1,"Havel-Radweg",371
2,"Europaradweg R1",5100
3,"Oder-Neiße-Radweg",630
4,"Ostseeküstenradweg",7980
5,"Radfernweg Berlin-Kopenhagen",650
6,"Radfernweg Berlin-Usedom",337
7,"Berliner Mauerweg",160
8,"Fontane-Radweg",300
9,"Dahme-Radweg",123
10,"Elbe-Radweg",1300
11,"Tour Brandenburg",1111
12,"Spreeradweg",360
14,"Uckermärkischer Radrundweg",302
15,"Radweg Berlin-Leipzig",250
16,"Kranich-Radtour",74
17,"Gurkenradweg",260
18,"Bahn-Radweg Hellweg-Weser",275
19,"Weser-Radweg",517
20,"Bahn-Radweg Weser-Lippe",317
21,"Leine-Heide-Radweg",406
